x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
1650.0,600.0,0.43,6.664072688555392e-05,7.495154866912418e-06,1.0,2.1875825659836e-06,0.27
1650.0,500.0,0.18,6.787308032830331e-05,3.94716892872757e-06,1.0,1.0117970554499016e-06,0.12
1650.0,400.0,0.06,6.72505050319855e-05,2.154081598542415e-06,1.0,3.6113672617368273e-07,0.04
1600.0,250.0,0.02,5.771791178531781e-05,1.3296967259745665e-06,1.0,4.3782991756094196e-08,0.01
1600.0,150.0,0.01,5.363601949628007e-05,1.196381310324135e-06,1.0,1.1618515905606004e-08,0.0
1600.0,0.0,0.02,3.8440960492163944e-05,8.791735900849037e-07,0.9999999999998508,2.147707856090193e-09,0.0
1750.0,0.0,0.01,3.8545965783198665e-05,8.06758876628613e-07,0.9999999999998731,2.2488916228969845e-09,0.0
1800.0,100.0,0.0,5.5185214674627285e-05,1.1147352988241798e-06,1.0,8.602660837441935e-09,0.0
1800.0,200.0,0.01,6.996989533681178e-05,1.4277662617864515e-06,1.0,3.744565744238044e-08,0.0
1800.0,300.0,0.01,7.873004480412014e-05,1.7404402672874152e-06,1.0,1.5876539203595162e-07,0.02
1800.0,400.0,0.05,8.185143893505334e-05,2.4561675046880446e-06,1.0,5.90289318999373e-07,0.06
1800.0,500.0,0.17,8.053317096072452e-05,4.574780994259747e-06,1.0,1.7594873505221976e-06,0.18
1750.0,600.0,0.45,7.555169532722436e-05,8.758251925510246e-06,1.0,3.4473748872107578e-06,0.38
1750.0,700.0,0.8,7.114190505319221e-05,1.361388064928149e-05,1.0,5.37933948500839e-06,0.62
1750.0,800.0,0.95,6.809724871294123e-05,1.5288800516612498e-05,1.0,5.753963770310306e-06,0.7
1750.0,900.0,0.76,6.738799893020666e-05,1.2279795638173901e-05,1.0,4.159499738804641e-06,0.51
1700.0,1000.0,0.43,6.814961823110256e-05,7.661218838547666e-06,1.0,1.7860470831158349e-06,0.22
1700.0,1100.0,0.22,6.57667445285848e-05,4.352172765762491e-06,1.0,6.286575144326673e-07,0.08
1750.0,1150.0,0.14,6.292301618854137e-05,3.075928944487804e-06,1.0,3.615801616184708e-07,0.05
