time(s),moth_pos_x,moth_pos_y,step_0_voltage,,,step_1_voltage,step_2_voltage,step_3_voltage,delta_x,delta_y,,,,
2.85,-2.994672082,421.8664737,2.574868361,0,0,2.410727494,1.150555556,2.051102428,-2.831373346,-8.9270469,-1.895751408,-6.1983594,-0.934334118,-3.128355
2.92,-3.780352899,419.0085137,2.704068268,0,0,2.574868361,2.410727494,1.150555556,-2.681432225,-9.0563194,-1.720014935,-5.986315,-0.785680817,-2.85796
2.98,-4.249537487,416.7010302,2.796580202,0,0,2.704068268,2.574868361,2.410727494,-2.189199523,-8.2937985,-1.254865405,-5.1654435,-0.469184588,-2.3074835
3.05,-4.303558439,415.0419429,2.631752997,0,0,2.796580202,2.704068268,2.574868361,-1.308886357,-6.8245308,-0.52320554,-3.9665708,-0.054020952,-1.6590873
3.11,-4.052617704,413.8721584,2.572942123,0,0,2.631752997,2.796580202,2.704068268,-0.272264805,-5.1363553,0.196919783,-2.8288718,0.250940735,-1.1697845
3.18,-3.848923652,412.8443301,1.444169214,0,0,2.572942123,2.631752997,2.796580202,0.400613835,-3.8567001,0.454634787,-2.1976128,0.203694052,-1.0278283
3.25,-4.155716855,411.6010735,1.023296296,0,0,1.444169214,2.572942123,2.631752997,0.147841584,-3.4408694,-0.103099151,-2.2710849,-0.306793203,-1.2432566
3.31,-5.316122752,409.9478943,1.277414686,0,0,1.023296296,1.444169214,2.572942123,-1.263505048,-3.9242641,-1.4671991,-2.8964358,-1.160405897,-1.6531792
3.38,-7.36134343,407.9255703,1.526150425,0,0,1.277414686,1.023296296,1.444169214,-3.512419778,-4.9187598,-3.205626575,-3.6755032,-2.045220678,-2.022324
3.45,-9.984009,405.7501379,1.139888889,0,0,1.526150425,1.277414686,1.023296296,-5.828292145,-5.8509356,-4.667886248,-4.1977564,-2.62266557,-2.1754324
3.51,-12.69488242,403.6634036,1.409912552,0,0,1.139888889,1.526150425,1.277414686,-7.378759668,-6.2844907,-5.33353899,-4.2621667,-2.71087342,-2.0867343
3.58,-15.05573877,401.7990031,1.729592505,0,0,1.409912552,1.139888889,1.526150425,-7.69439534,-6.1265672,-5.07172977,-3.9511348,-2.36085635,-1.8644005
3.64,-16.8472424,400.1438448,1.302777779,0,0,1.729592505,1.409912552,1.139888889,-6.8632334,-5.6062931,-4.15235998,-3.5195588,-1.79150363,-1.6551583
3.71,-18.10523268,398.5777402,2.060010787,0,0,1.302777779,1.729592505,1.409912552,-5.41035026,-5.0856634,-3.04949391,-3.2212629,-1.25799028,-1.5661046
3.78,-19.05016023,396.9317599,2.254530997,0,0,2.060010787,1.302777779,1.729592505,-3.99442146,-4.8672432,-2.20291783,-3.2120849,-0.94492755,-1.6459803
3.84,-19.95977628,395.0511784,2.338990664,0,0,2.254530997,2.060010787,1.302777779,-3.11253388,-5.0926664,-1.8545436,-3.5265618,-0.90961605,-1.8805815
3.91,-21.02697306,392.8776355,2.382613833,0,0,2.338990664,2.254530997,2.060010787,-2.92174038,-5.7001047,-1.97681283,-4.0541244,-1.06719678,-2.1735429
3.98,-22.26533219,390.5177829,2.311591364,0,0,2.382613833,2.338990664,2.254530997,-3.21517196,-6.413977,-2.30555591,-4.5333955,-1.23835913,-2.3598526
4.04,-23.52404154,388.2285165,1.967452786,0,0,2.311591364,2.382613833,2.338990664,-3.56426526,-6.8226619,-2.49706848,-4.649119,-1.25870935,-2.2892664
4.11,-24.60291122,386.3032856,1.426961749,0,0,1.967452786,2.311591364,2.382613833,-3.57593816,-6.5743499,-2.33757903,-4.2144973,-1.07886968,-1.9252309
4.17,-25.39255936,384.9289091,1.073656715,0,0,1.426961749,1.967452786,2.311591364,-3.12722717,-5.5888738,-1.86851782,-3.2996074,-0.78964814,-1.3743765
4.24,-25.96158059,384.1022597,1.137851852,0,0,1.073656715,1.426961749,1.967452786,-2.43753905,-4.1262568,-1.35866937,-2.2010259,-0.56902123,-0.8266494
4.31,-26.54574629,383.644223,1.099323179,0,0,1.137851852,1.073656715,1.426961749,-1.94283507,-2.6590626,-1.15318693,-1.2846861,-0.5841657,-0.4580367
4.37,-27.43888371,383.2850816,1.048135533,0,0,1.099323179,1.137851852,1.073656715,-2.04632435,-1.6438275,-1.47730312,-0.8171781,-0.89313742,-0.3591414
4.44,-28.83070086,382.7724593,1.201111111,0,0,1.048135533,1.099323179,1.137851852,-2.86912027,-1.3298004,-2.28495457,-0.8717637,-1.39181715,-0.5126223
4.51,-30.6817309,381.9559236,1.25848908,0,0,1.201111111,1.048135533,1.099323179,-4.13598461,-1.6882994,-3.24284719,-1.329158,-1.85103004,-0.8165357
4.57,-32.74114588,380.8033791,1.434612709,0,0,1.25848908,1.201111111,1.048135533,-5.30226217,-2.4817025,-3.91044502,-1.9690802,-2.05941498,-1.1525445
4.64,-34.72204268,379.3435614,1.371856992,0,0,1.434612709,1.25848908,1.201111111,-5.89134182,-3.4288979,-4.04031178,-2.6123622,-1.9808968,-1.4598177
4.7,-36.48403338,377.6082724,2.027569279,0,0,1.371856992,1.434612709,1.25848908,-5.80230248,-4.3476512,-3.7428875,-3.1951067,-1.7619907,-1.735289
4.77,-38.0490489,375.6473062,2.280614552,0,0,2.027569279,1.371856992,1.434612709,-5.30790302,-5.1560729,-3.32700622,-3.6962552,-1.56501552,-1.9609662
4.84,-39.46829603,373.5810518,2.429635861,0,0,2.280614552,2.027569279,1.371856992,-4.74625335,-5.7625096,-2.98426265,-4.0272206,-1.41924713,-2.0662544
4.9,-40.70791566,371.6035504,2.559307674,0,0,2.429635861,2.280614552,2.027569279,-4.22388228,-6.004722,-2.65886676,-4.0437558,-1.23961963,-1.9775014
4.97,-41.64905605,369.9198848,2.6950471,0,0,2.559307674,2.429635861,2.280614552,-3.60000715,-5.7274214,-2.18076002,-3.661167,-0.94114039,-1.6836656
5.04,-42.17079771,368.6712941,1.155241179,0,0,2.6950471,2.559307674,2.429635861,-2.70250168,-4.9097577,-1.46288205,-2.9322563,-0.52174166,-1.2485907
5.1,-42.24951793,367.8979451,3.061622944,0,0,1.155241179,2.6950471,2.559307674,-1.54160227,-3.7056053,-0.60046188,-2.0219397,-0.07872022,-0.773349
5.17,-42.02712622,367.5482872,2.20467343,0,0,3.061622944,1.155241179,2.6950471,-0.37807017,-2.3715976,0.14367149,-1.1230069,0.22239171,-0.3496579
5.23,-41.82587756,367.5056955,2.033793248,0,0,2.20467343,3.061622944,1.155241179,0.34492015,-1.1655986,0.42364037,-0.3922496,0.20124866,-0.0425917
5.3,-42.08859081,367.6092517,1.885551302,0,0,2.033793248,2.20467343,3.061622944,0.16092712,-0.2886934,-0.06146459,0.0609645,-0.26271325,0.1035562
5.37,-43.22956733,367.6807668,1.784001169,0,0,1.885551302,2.033793248,2.20467343,-1.20244111,0.1324796,-1.40368977,0.1750713,-1.14097652,0.0715151
5.43,-45.45698202,367.5673213,1.380108795,0,0,1.784001169,1.885551302,2.033793248,-3.63110446,0.0616258,-3.36839121,-0.0419304,-2.22741469,-0.1134455
5.5,-48.67461997,367.182342,2.029662177,0,0,1.380108795,1.784001169,1.885551302,-6.58602916,-0.4269097,-5.44505264,-0.4984248,-3.21763795,-0.3849793
5.57,-52.49575129,366.5295815,2.558054324,0,0,2.029662177,1.380108795,1.784001169,-9.26618396,-1.1511853,-7.03876927,-1.0377398,-3.82113132,-0.6527605
5.63,-56.34216946,365.702781,2.746791513,0,0,2.558054324,2.029662177,1.380108795,-10.88518744,-1.8645403,-7.66754949,-1.479561,-3.84641817,-0.8268005
5.7,-59.624334,364.8510477,2.696395669,0,0,2.746791513,2.558054324,2.029662177,-10.94971403,-2.3312943,-7.12858271,-1.6785338,-3.28216454,-0.8517333
